word_count	path	year_folder
285	MEI, 20 2007-Tresna ring Budaya Ngawit saking Kulawarga.txt	2007
514	MEI, 27 2007-Bésér Bazar.txt	2007
932	MEI, 27 2007-DAGANG ÉS ROTI.txt	2007
232	MEI, 27 2007-Masuluh ring Sastra.txt	2007
514	MEI, 27 2007-Ngrusak lan Ngresik.txt	2007
220	MEI, 27 2007-Waged krana Sering Malomba.txt	2007
234	MEI, 6 2007-Bali nénten Kirangan Karang.txt	2007
477	MEI, 6 2007-Cupit Majepit.txt	2007
629	MEI, 6 2007-Gumi Seksek.txt	2007
202	NOV, 11 2007-BENCINGAH.txt	2007
381	NOV, 11 2007-Calonarang.txt	2007
725	NOV, 11 2007-Katuturan Sang Arya Dharma Mituhu Pituturipun I Kambing (1).txt	2007
460	NOV, 11 2007-Ngeréh.txt	2007
652	NOV, 11 2007-Rangda, Balu.txt	2007
758	NOV, 11 2007-Sudagar.txt	2007
463	NOV, 18 2007-Guru ring Tengahing Kelas, Guru ring Sisi Kelas.txt	2007
336	NOV, 18 2007-Guru, Gugu, lan Guyu.txt	2007
799	NOV, 18 2007-Katuturan Sang Arya Dharma Mituhu Pituturipun I Kambing (2).txt	2007
1139	NOV, 18 2007-Ngandong Bulan.txt	2007
449	NOV, 18 2007-Pagerwesi, 'Hari Guru' sakadi Bali.txt	2007
487	NOV, 18 2007-Patapan I Lidi.txt	2007
247	NOV, 18 2007-Pemda Madué Tanggung Jawab ring Basa Daérahnyané.txt	2007
207	NOV, 25 2007-Ajegang Kasucian Sesolahan Sanghyangé.txt	2007
461	NOV, 25 2007-Sesolahan Sanghyang Setata Pacang Ajeg.txt	2007
523	NOV, 25 2007-Sesolahan Sanghyang.txt	2007
378	NOV, 4 2007-Anom-anomé Ngulati Tetuladan.txt	2007
216	NOV, 4 2007-Bencingah-Sampunang Lali ring Tri Pusaka Bangsa.txt	2007
456	NOV, 4 2007-'Berjuang' Nyuang.txt	2007
692	NOV, 4 2007-Katuturan Pamargan Batur Taskara (3).txt	2007
674	NOV, 4 2007-Krama Tamiu 'Toris napi Teroris'.txt	2007
641	NOV, 4 2007-Magibung.txt	2007
205	NOV, 4 2007-Nungkulang Keneh.txt	2007
603	OKT, 21 2007-Dalang Guyang.txt	2007
418	OKT, 21 2007-Kelir Wayang Majait.txt	2007
1238	OKT, 21 2007-Pak Gedé.txt	2007
543	OKT, 28 2007-Abén lan Aben.txt	2007
905	OKT, 28 2007-Bangke Matah.txt	2007
445	OKT, 28 2007-Malaksana Kadéwan-déwan.txt	2007
647	OKT, 28 2007-Mapi-mapi Betara.txt	2007
454	OKT, 28 2007-Ngabén Sinarengan Gratis Nyabran Tigang Warsa.txt	2007
423	OKT, 28 2007-Ngabén Sinarengan sakadi Tumbu lan Pecatu.txt	2007
473	OKT, 7 2007-Dosén Agama Hindu.txt	2007
1217	OKT, 7 2007-Hansip Dogén, Kanggo!.txt	2007
685	OKT, 7 2007-Katuturan Bé Tetelu.txt	2007
528	OKT, 7 2007-Mulungin Pemulung.txt	2007
250	OKT, 7 2007-Pemulung Rarisang Ngranjing.txt	2007
199	OKT, 7 2007-Sangkaning Ngundang Prasida Ngindang.txt	2007
253	OKT, 7 2007-Sekaa Shanti Bhukti Mukti Bhakti.txt	2007
569	SEP, 16 2007-Angkabin Barong Somi.txt	2007
269	SEP, 16 2007-Drama Gong Nglestariang Basa Bali.txt	2007
659	SEP, 16 2007-Garang Bulan.txt	2007
320	SEP, 16 2007-Long lan Longan.txt	2007
225	SEP, 16 2007-Madasar antuk Nyastra.txt	2007
346	SEP, 16 2007-Nemu Galang.txt	2007
473	SEP, 16 2007-Purnama Matemu Tilem ring Tenganan Pegringsingan.txt	2007
241	SEP, 16 2007-Purnama Pralambang Suarga.txt	2007
277	SEP, 16 2007-Tetegenan Guru Sayan Abot.txt	2007
687	SEP, 2 2007-I Gowak Nyrita.txt	2007
748	SEP, 2 2007-Ilang Teba, Sampah Katah.txt	2007
216	SEP, 2 2007-Magambel, Malatih Madémokrasi.txt	2007
1103	SEP, 2 2007-Nangka Makatik Patpat.txt	2007
659	SEP, 2 2007-Ngurus sané Jelé, Nemu Melah.txt	2007
261	SEP, 2 2007-Pengater Acara ring 'Gemar Membaca'.txt	2007
803	SEP, 23 2007-Katuturan I Kasiapa Kepuh.txt	2007
458	SEP, 23 2007-Midabdabin Fakultas Sastra Unud Mangda Kadi Bahni ring Pahoman.txt	2007
217	SEP, 23 2007-Nglemesin antuk Béasiswa.txt	2007
463	SEP, 23 2007-Ngulati Skripsi Mabasa Bali.txt	2007
617	SEP, 23 2007-Sastra Suluh Urip.txt	2007
433	SEP, 30 2007-Barong Lawang.txt	2007
460	SEP, 30 2007-Barong, Ngraketang Paiketan Pasemetonan.txt	2007
1096	SEP, 30 2007-Betara Da Tonta.txt	2007
245	SEP, 30 2007-Juara Karaté lan Maca Puisi.txt	2007
705	SEP, 30 2007-Pangindrajalan I Syaruda ring I Ula.txt	2007
199	SEP, 30 2007-Pralambang Purusa-Pradana.txt	2007
248	SEP, 30 2007-Saking Lontar Metu Togog.txt	2007
1248	SEP, 9 2007-Bajang Bunga.txt	2007
434	SEP, 9 2007-Dadong Tumbah lan Arja RRI Denpasar.txt	2007
523	SEP, 9 2007-Gita ambara.txt	2007
661	SEP, 9 2007-I Buyung Nyrita.txt	2007
299	SEP, 9 2007-Radio Srana Nglimbakang Budaya.txt	2007
349	SEP, 9 2007-Ring Radio,  Ngorta kantos Mamitra.txt	2007
593	SEP, 9 2007-Tanah Taksu Bali.txt	2007
368	APR, 13 2008-Déwi Gangga Malinggih Manying Songgéng.txt	2008
562	APR, 13 2008-Génjér-génjér lan Écéng Gondok.txt	2008
831	APR, 13 2008-Gocékan.txt	2008
783	APR, 13 2008-I Belog Mantu (3).txt	2008
234	APR, 13 2008-Macecimpedan kadi Nagingin Teka-teki.txt	2008
408	APR, 13 2008-Maceki, Seni.txt	2008
325	APR, 13 2008-Ngepung Apung.txt	2008
406	APR, 13 2008-Ngirangin Cemer Limbah Garmen.txt	2008
451	APR, 13 2008-Pétruk Dados Raja.txt	2008
672	APR, 13 2008-Puek.txt	2008
453	APR, 20 2008-Anak Istri Dados Gubernur. Ngudiang Ten.txt	2008
678	APR, 20 2008-Mamadat.txt	2008
452	APR, 20 2008-Raja Klungkung sané Ngawinang Jerih I Welanda.txt	2008
811	APR, 27 2008-I Belog Mantu (5).txt	2008
335	APR, 27 2008-Layangan 'Arjun' Sayang.txt	2008
464	APR, 27 2008-Pakayunan Pemda Nénten Kukuh, Pertanian Bali 'Kasepékang'.txt	2008
1074	AUGUST, 24 2008-Ten Juari.txt	2008
1030	AUGUST, 31 2008-Luh Gisha.txt	2008
1216	DES, 14 2008-Belingan.txt	2008
873	DES, 21 2008-Baju Batik.txt	2008
894	DES, 28 2008-Kaden Saja.txt	2008
881	DES, 7 2008-Roti Jaran.txt	2008
452	FEB, 17 2008-Tumpek Krulut, Rahina Kasih Sayang Sakadi Bali.txt	2008
482	FEB, 24 2008-Arca lan Pratima Bali,  Akéhan saking Abad 13—14.txt	2008
756	FEB, 24 2008-I Dempuawang (2).txt	2008
268	FEB, 24 2008-Pratima lan Pralingga.txt	2008
529	FEB, 3 2008-Bazar Banjar, Pasar Punia.txt	2008
450	FEB, 3 2008-Bazar lan Kafé.txt	2008
604	FEB, 3 2008-Bazar Macedar.txt	2008
256	FEB, 3 2008-Bencingah.txt	2008
852	FEB, 3 2008-HP.txt	2008
747	FEB, 3 2008-I Sigir, Jlema tuah Asibak (3).txt	2008
347	FEB, 3 2008-Nyolong Semara.txt	2008
355	FEB, 3 2008-Sira Jeroné.txt	2008
